created_at,screen_name,text,Label
5/1/2021 16:48,theoholan,itu mah konflik rebutan tanah,0
5/3/2021 14:12,KoloElang, Bisa tidak? Palestina taat secara kaffah dalam islam dengan mengganti demokrasi menjadi sistem islam??  Seakan2 hal ini menjadi kunci Allah akan memlerbaiki keadaan di tiap tempat yang bersangkutan (,0
5/4/2021 5:55,viktorkonyolsky, Bagaimana mengelola/menghadapi pemberontakan: 1. Berunding untuk memaksa pemberontak menyerah 2. Berunding untuk memaksa gencatan senjata 3. Blokade utk memotong suplai logistik pemberontak 4.,1
5/5/2021 10:27,ambiszen,kalo palestina rohingya lebih ke konflik politik si soalnya oknum yg terlibat dari pemerintah luar ke islam bukan islam ke oknum luar jadi ga apple to apple sama teroris. cmiiw,0
5/5/2021 10:54,NephiLaxmus, Teroris 'islam' Itu gejala baru terutama sebagai imbas konflik israel palestina. Thn 60-70an yang sohor malah teroris 'merah'. Sisa-sisanya pernah beraksi di Jakarta tahun 1986.   https://t.co/ycmTC5Pwkv,0
5/5/2021 19:57,Atheo8ID, @mataglo @Sentjoko At least gregetan gw turun krn lu moderat ððð I don't care with zionism ataupun gerakan yg mendukung Palestina. Ini konflik mereka yg ga ada sangkut pautnya dg kita. Tp sbg,2
5/7/2021 5:16,amalial59210614,Meningkatnya ketidakpercayaan antara bangsa Arab-Muslim dan dunia Barat berakar pada konflik di Palestina. #FreePalestine,2
5/7/2021 6:24,AldicoF, Tolong negara negara arab atau lainnya harus menegakkan kebebasan dan hak asasi manusia di palestina jangan cuma banyak bacot doang untuk mengurusi negara yg banyak sda nya contoh negara a_m_r_k_ dan tol,2
5/7/2021 7:30,literasiislam, Apa kalian yang teriak toleransi tau bagaimana islam menjaga kebebasan agama lain beragama?   Ingat kisah Amirul mukminin Umar ibn Khatab? Membebaskan Jarusalem (Palestina),0
5/7/2021 18:56,raaperle, @Sk8rwannabe indeed. konflik israel-palestina memang complex,0
5/7/2021 23:40,andisoepangkat, Semoga Allah menolong saudara kita di Palestina. Aamiin YRA .....Alfatehah,0
5/7/2021 23:47,NurmansyahAffa1," Penjajahan Palestina terjadi setelah runtuhnya Khilafah. Bahkan setelah berdirinya ""puluhan"" negara Arab mereka gak mampu membebaskan al aqso....masih enggak ada rasa rindu khilafah islamiah...",0
